Key,Source,Context,Changes,English,French,German,Klingon,Spanish
quest,,Category,KgNone,Quest,Quête,Quest,,Misión
challenge,,Category,KgNone,Challenge,Défi,Herausforderung,,Desafío
treasure,,Category,KgNone,Treasure,Trésor,Schatz,,Tesoros
bonus,,Category,KgNone,Bonus,Bonus,Bonus,,Bonos
questChain,,Category,KgNone,Quest Chain,Série de quêtes,Questserie,,Cadena de misiones
difficulty_veryeasy,,Difficulty,KgNone,Very Easy,Très facile,Sehr einfach,,Muy fácil
difficulty_easy,,Difficulty,KgNone,Easy,Facile,Einfach,,Fácil
difficulty_medium,,Difficulty,KgNone,Medium,Moyenne,Mittel,,Medio
difficulty_hard,,Difficulty,KgNone,Hard,Difficile,Schwierig,,Difícil
difficulty_insane,,Difficulty,KgNone,Insane,Extrême,Irre,,Demente
started,,Keywords,KgNone,Started,En cours,Begonnen,,Empezada
completed,,Keywords,KgNone,Completed,Terminée,Abgeschlossen,,Completada
failed,,Keywords,KgNone,Failed,Échec,Fehlgeschlagen,,Fallida
optional,,Keywords,KgNone,Optional,Facultative,Optional,,Opcional
RewardTypeQuest,,Keywords,KgNone,Reward,Récompense,Belohnung,,Recompensa
RewardTypeChainQuest,,Keywords,KgNone,Chain Reward,Récompense de série,Serienbelohnung,,Cadena de recompensas
ObjectiveAnimalKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
ObjectiveAssemble_keyword,,Keywords,KgNone,Assemble,Assembler,Zusammensetzen,,Ensambla
ObjectiveBlockPickup_keyword,,Keywords,KgNone,Pickup,Ramasser,Aufheben,,Recoge
ObjectiveBlockPlace_keyword,,Keywords,KgNone,Place,Placer,platziert,,Coloca
ObjectiveBlockUpgrade_keyword,,Keywords,KgNone,Upgrade,Améliorer,aufgewertet,,Mejora
ObjectiveBuff_keyword,,Keywords,KgNone,Get,Obtenir,Erhalten,,Consigue
ObjectiveCraft_keyword,,Keywords,KgNone,Craft,Fabriquez,gefertigt,,Fabrica
ObjectiveFetch_keyword,,Keywords,KgNone,Gather,Collectez,gesammelt,,Reúne
ObjectiveGoto_keyword,,Keywords,KgNone,Locate {0},Trouver {0},Finde {0},,Ubicar {0}
ObjectiveExchangeItemFrom_keyword,,Keywords,KgNone,Fill,Remplir,Füllen,,Llena
ObjectiveOpenWindow_keyword,,Keywords,KgNone,Open {0} Window,Ouvrir la fenêtre {0},Öffne {0}-Fenster,,Abre {0} ventana(s)
